,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
73,0,11.0,1,8.0,2.0,3,3,10,0,14.0,0.0,1.0,0.0,165.53,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
74,0,11.0,1,35.0,2.0,3,2,4,0,18.0,0.0,1.0,7.0,162.61,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
75,0,0.0,1,6.0,2.0,4,5,6,0,19.0,0.0,2.0,0.0,142.98,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
76,0,22.0,1,24.0,3.0,3,2,2,1,15.0,0.0,1.0,7.0,168.04,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
77,0,7.0,1,16.0,2.0,3,3,2,1,17.0,2.0,2.0,0.0,138.15,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
79,1,1.0,1,35.0,3.0,3,5,8,1,19.0,0.0,1.0,0.0,166.73,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
80,1,0.0,3,33.0,2.0,3,2,2,0,22.0,1.0,1.0,9.0,176.39,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
83,0,13.0,1,15.0,3.0,4,2,10,0,14.0,1.0,1.0,2.0,148.76,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
84,0,19.0,1,6.0,3.0,3,5,8,0,16.0,0.0,1.0,3.0,193.96,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
85,1,0.0,3,10.0,2.0,5,2,2,0,11.0,7.0,9.0,8.0,204.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
86,0,3.0,1,6.0,2.0,4,3,2,0,22.0,2.0,5.0,8.0,184.74,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
87,0,0.0,3,26.0,2.0,3,3,2,0,14.0,1.0,1.0,7.0,199.81,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
91,1,0.0,3,32.0,2.0,4,5,6,0,15.0,0.0,1.0,1.0,166.96,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
93,0,18.0,3,12.0,2.0,4,2,7,0,12.0,12.0,12.0,8.0,188.65,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
94,0,27.0,3,9.0,2.0,3,5,3,0,14.0,1.0,1.0,5.0,159.4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
95,0,9.0,1,11.0,3.0,3,4,9,0,16.0,0.0,3.0,7.0,159.14,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
98,0,11.0,3,9.0,3.0,3,3,1,0,12.0,1.0,5.0,13.0,206.08999999999997,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
99,0,4.0,1,6.0,2.0,5,3,1,0,12.0,1.0,1.0,4.0,143.45,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
101,0,10.0,3,10.0,2.0,3,2,5,0,17.0,1.0,5.0,8.0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
102,0,2.0,3,6.0,2.0,3,2,2,0,14.0,4.0,4.0,1.0,179.18,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
103,0,8.0,3,6.0,3.0,3,3,2,0,14.0,1.0,1.0,8.0,187.89,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
105,0,25.0,1,8.0,2.0,4,2,8,0,15.0,0.0,2.0,2.0,132.12,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
113,0,5.0,3,10.0,2.0,3,4,3,0,11.0,1.0,1.0,2.0,139.31,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
114,1,0.0,1,6.0,3.0,4,3,1,1,14.0,1.0,1.0,2.0,137.3,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
116,0,5.0,3,32.0,3.0,3,2,1,0,18.0,1.0,2.0,2.0,144.65,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
118,0,13.0,1,30.0,3.0,3,2,2,0,17.0,2.0,4.0,7.0,133.19,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
122,0,7.0,1,8.0,2.0,4,5,7,0,13.0,0.0,5.0,9.0,159.57,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
123,0,10.0,1,6.0,2.0,4,5,3,0,14.0,1.0,1.0,2.0,139.2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
124,0,18.0,1,13.0,3.0,2,3,5,0,17.0,0.0,1.0,2.0,164.34,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
125,1,0.0,1,16.0,3.0,3,3,7,0,11.0,1.0,1.0,0.0,200.48,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
128,0,15.0,1,23.0,2.0,2,5,4,1,13.0,0.0,1.0,2.0,165.45,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
129,0,2.0,3,26.0,2.0,3,2,3,0,14.0,1.0,1.0,2.0,169.31,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
130,0,0.0,1,6.0,3.0,3,3,1,0,12.0,1.0,1.0,2.0,148.98,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
134,1,0.0,1,35.0,3.0,4,4,1,0,11.0,1.0,1.0,4.0,134.79,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
136,0,11.0,3,8.0,2.0,4,2,4,0,18.0,6.0,7.0,5.0,152.49,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
139,1,0.0,1,8.0,3.0,3,3,3,0,11.0,1.0,1.0,0.0,134.85,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
140,0,2.0,3,8.0,3.0,4,4,3,0,19.0,0.0,1.0,0.0,166.44,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
141,0,4.0,1,29.0,3.0,4,2,1,0,21.0,1.0,7.0,8.0,155.82,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
142,0,0.0,1,11.0,2.0,2,5,2,0,12.0,1.0,1.0,5.0,140.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
144,0,9.0,1,12.0,2.0,3,2,1,0,11.0,4.0,10.0,11.0,132.1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
148,0,10.0,3,12.0,3.0,3,2,5,0,14.0,0.0,1.0,1.0,165.02,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
149,0,0.0,1,9.0,3.0,4,3,2,0,17.0,1.0,1.0,0.0,132.3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
152,0,11.0,3,13.0,2.0,2,5,2,1,24.0,0.0,7.0,7.0,156.05,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
153,0,0.0,1,6.0,2.0,3,4,2,0,20.0,0.0,1.0,4.0,163.97,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
156,0,15.0,3,6.0,2.0,3,3,2,0,25.0,4.0,11.0,6.0,149.07,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
157,0,2.0,3,8.0,2.0,3,2,2,0,18.0,0.0,1.0,9.0,145.54,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
158,0,28.0,1,26.0,2.0,3,2,4,1,19.0,1.0,1.0,8.0,154.15,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
159,0,0.0,1,17.0,2.0,3,5,2,1,13.0,2.0,3.0,3.0,147.41,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
162,0,11.0,1,29.0,2.0,3,2,10,0,14.0,0.0,1.0,2.0,157.45,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
164,0,1.0,1,14.0,3.0,3,2,2,0,21.0,0.0,1.0,2.0,133.1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
166,0,9.0,1,9.0,1.0,3,4,5,0,12.0,6.0,7.0,7.0,144.85,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
168,1,0.0,3,10.0,2.0,4,2,2,1,12.0,7.0,7.0,4.0,158.28,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
172,0,8.0,3,22.0,3.0,3,4,1,0,15.0,3.0,6.0,9.0,180.2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
173,0,9.0,1,24.0,2.0,2,2,5,0,18.0,0.0,1.0,0.0,136.88,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
174,0,24.0,1,8.0,2.0,5,4,6,0,18.0,0.0,1.0,2.0,154.82,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
176,0,0.0,3,16.0,3.0,4,3,2,0,12.0,1.0,1.0,0.0,112.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
177,0,1.0,1,22.0,3.0,2,5,1,0,19.0,0.0,1.0,7.0,156.61,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
178,0,4.0,3,13.0,3.0,2,2,5,0,11.0,3.0,7.0,7.0,169.29,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
179,0,12.0,1,6.0,2.0,2,2,1,0,17.0,3.0,3.0,7.0,196.13,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
180,0,9.0,1,30.0,2.0,3,4,8,0,15.0,0.0,1.0,8.0,156.74,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
181,0,5.0,3,13.0,3.0,4,3,2,0,14.0,1.0,4.0,8.0,154.84,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
183,0,30.0,1,6.0,2.0,5,3,3,1,13.0,1.0,1.0,2.0,156.6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
184,0,4.0,1,11.0,2.0,3,2,1,1,12.0,0.0,1.0,3.0,148.21,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
185,0,4.0,2,8.0,3.0,4,5,4,0,12.0,0.0,1.0,0.0,164.1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
186,0,18.0,1,13.0,3.0,3,5,2,0,18.0,5.0,9.0,11.0,152.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
192,1,15.0,1,14.0,2.0,4,4,3,0,15.0,7.0,7.0,7.0,149.41,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
194,0,5.0,3,14.0,3.0,4,4,2,1,11.0,6.0,11.0,9.0,152.28,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
195,0,0.0,3,8.0,3.0,3,3,2,1,11.0,1.0,1.0,4.0,144.78,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
196,0,4.0,3,13.0,3.0,3,2,5,0,12.0,0.0,1.0,7.0,175.47,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
197,0,5.0,1,8.0,3.0,2,2,8,0,16.0,1.0,1.0,7.0,150.55,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
198,1,0.0,1,8.0,2.0,5,2,6,1,13.0,2.0,2.0,2.0,134.64,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
199,0,3.0,1,34.0,3.0,3,2,2,0,13.0,0.0,1.0,9.0,157.75,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
200,0,4.0,1,13.0,2.0,4,3,2,0,24.0,3.0,8.0,9.0,189.43,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
202,1,2.0,3,9.0,2.0,3,3,5,1,18.0,1.0,1.0,0.0,152.38,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
203,0,6.0,3,16.0,2.0,4,2,4,0,14.0,1.0,1.0,1.0,146.82,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
205,0,16.0,1,16.0,2.0,4,3,2,0,11.0,0.0,1.0,0.0,152.57,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
206,0,0.0,3,6.0,3.0,3,4,1,1,13.0,0.0,1.0,4.0,163.49,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
207,0,27.0,1,26.0,2.0,3,3,4,0,12.0,1.0,1.0,3.0,148.69,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
208,0,16.0,1,13.0,2.0,3,5,9,0,16.0,1.0,1.0,0.0,199.85,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
209,0,18.0,1,14.0,3.0,3,2,10,0,14.0,7.0,9.0,8.0,136.97,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
210,0,13.0,3,6.0,2.0,5,2,3,1,22.0,1.0,1.0,2.0,174.57,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
212,0,2.0,1,15.0,1.0,4,2,1,0,17.0,2.0,2.0,2.0,139.83,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
213,0,3.0,3,11.0,1.0,4,3,2,0,13.0,0.0,1.0,2.0,161.18,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
214,0,0.0,3,14.0,2.0,3,4,2,0,18.0,0.0,1.0,7.0,162.14,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
215,0,10.0,1,11.0,3.0,3,2,8,0,16.0,0.0,1.0,4.0,163.47,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
217,0,4.0,1,13.0,2.0,3,2,2,1,14.0,2.0,4.0,10.0,171.43,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
218,0,2.0,3,16.0,2.0,4,4,2,1,14.0,0.0,1.0,7.0,182.68,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
219,0,8.0,1,11.0,3.0,3,4,1,0,13.0,0.0,1.0,13.0,180.95,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
221,0,14.0,1,12.0,3.0,4,4,7,1,15.0,1.0,1.0,2.0,160.32,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
224,0,2.0,3,8.0,3.0,3,3,2,0,14.0,1.0,1.0,2.0,146.49,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
228,0,10.0,1,12.0,2.0,2,5,5,1,13.0,2.0,6.0,7.0,159.74,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
229,0,3.0,3,31.0,2.0,3,3,8,1,12.0,1.0,2.0,2.0,147.36,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
230,0,0.0,3,6.0,2.0,3,3,2,0,17.0,2.0,7.0,7.0,152.96,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
231,0,15.0,1,8.0,3.0,4,2,4,0,23.0,0.0,1.0,0.0,167.81,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
233,0,9.0,3,6.0,2.0,3,2,5,0,15.0,1.0,1.0,0.0,166.53,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
234,0,9.0,3,9.0,2.0,4,2,5,0,11.0,0.0,1.0,12.0,196.99,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
235,0,30.0,1,6.0,2.0,3,3,3,0,11.0,1.0,1.0,2.0,167.55,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
239,0,10.0,1,16.0,3.0,3,5,7,0,20.0,1.0,1.0,3.0,134.52,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
240,0,19.0,1,13.0,1.0,3,3,3,0,14.0,0.0,1.0,0.0,152.58,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
241,1,4.0,3,10.0,2.0,3,4,2,0,18.0,7.0,7.0,7.0,193.55,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
242,0,23.0,1,16.0,3.0,4,2,7,0,15.0,0.0,1.0,3.0,204.96,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
243,1,3.0,3,28.0,3.0,4,3,3,1,12.0,1.0,1.0,0.0,163.8,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
247,0,8.0,1,15.0,3.0,4,4,10,0,19.0,1.0,1.0,0.0,165.4,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
248,0,0.0,1,6.0,2.0,3,4,2,0,11.0,0.0,1.0,4.0,138.16,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
249,0,1.0,3,15.0,3.0,3,2,2,0,16.0,1.0,1.0,7.0,152.53,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
250,0,22.0,1,13.0,2.0,4,3,9,0,24.0,1.0,1.0,0.0,145.0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
251,0,24.0,3,20.0,2.0,3,2,5,0,11.0,0.0,1.0,7.0,149.36,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
253,1,0.0,3,25.0,3.0,2,2,9,1,13.0,1.0,1.0,4.0,153.04,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
255,0,0.0,3,16.0,3.0,3,3,2,1,12.0,0.0,1.0,3.0,142.6,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
259,0,9.0,3,8.0,3.0,4,3,2,0,13.0,9.0,9.0,0.0,175.96,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
262,0,13.0,3,8.0,2.0,3,4,8,0,12.0,0.0,1.0,3.0,157.15,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
264,0,10.0,1,16.0,2.0,3,4,3,1,12.0,0.0,1.0,1.0,141.97,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
266,0,13.0,1,8.0,3.0,4,3,7,0,22.0,1.0,1.0,0.0,134.48,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
268,0,7.0,3,10.0,3.0,3,3,10,0,15.0,1.0,1.0,2.0,165.38,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
269,0,4.0,1,13.0,2.0,3,5,2,0,12.0,3.0,3.0,12.0,143.06,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
271,0,16.0,1,14.0,3.0,3,3,5,1,14.0,0.0,1.0,2.0,145.22,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
272,0,0.0,3,10.0,2.0,4,2,2,1,11.0,0.0,1.0,3.0,144.87,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
273,0,10.0,1,31.0,3.0,3,3,4,1,15.0,3.0,10.0,7.0,144.49,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
275,0,12.0,1,6.0,2.0,3,3,2,1,14.0,0.0,1.0,6.0,291.97,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
277,0,3.0,3,18.0,2.0,3,3,1,0,11.0,3.0,4.0,4.0,165.77,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
278,0,14.0,3,6.0,2.0,2,5,2,0,16.0,1.0,1.0,7.0,183.92,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
279,0,1.0,1,23.0,3.0,3,5,2,0,12.0,0.0,1.0,8.0,145.58,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
280,1,0.0,1,9.0,3.0,3,5,6,0,13.0,1.0,1.0,2.0,140.31,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
281,0,25.0,1,9.0,2.0,4,3,3,1,14.0,0.0,1.0,4.0,179.69,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
284,0,15.0,1,35.0,3.0,3,3,3,0,11.0,1.0,1.0,2.0,145.56,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
285,0,3.0,1,8.0,2.0,5,2,3,0,20.0,0.0,1.0,2.0,160.91,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
287,0,19.0,1,24.0,2.0,3,3,3,0,14.0,0.0,1.0,8.0,148.1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
288,0,15.0,1,34.0,2.0,4,2,1,0,11.0,0.0,1.0,4.0,145.23,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
289,1,0.0,3,6.0,3.0,3,4,2,1,16.0,1.0,1.0,4.0,132.02,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
